# t x y z vx vy vz m
2750.000 -38.12602 -13.29508 0.01110 -0.00024 -0.00010 -0.00000 1.000e+04 
2760.000 56.75023 15.77940 -0.01395 -0.00110 0.00265 0.00000 1.000e+04 
2770.000 -38.49510 21.86459 0.00969 -0.00143 0.00001 0.00000 1.000e+04 
2780.000 54.73020 -10.05655 -0.01209 -0.00045 0.00268 0.00000 1.000e+04 
2790.000 -18.77165 46.54690 0.00845 -0.00205 0.00072 0.00000 1.000e+04 
2800.000 38.30265 -32.84567 -0.00909 0.00023 0.00236 -0.00000 1.000e+04 
2810.000 8.14691 54.82264 -0.00150 -0.00214 0.00148 0.00000 1.000e+04 
2820.000 8.81954 -43.67514 -0.00115 0.00070 0.00155 -0.00000 1.000e+04 
2830.000 33.38280 48.35997 -0.01015 -0.00190 0.00208 0.00000 1.000e+04 
2840.000 -24.26853 -32.43194 0.00523 0.00044 0.00040 -0.00000 1.000e+04 
2850.000 51.11003 30.76399 -0.01464 -0.00146 0.00250 0.00000 1.000e+04 
2860.000 -41.28029 -0.59602 0.01048 -0.00069 -0.00018 -0.00000 1.000e+04 
2870.000 57.67042 6.54341 -0.00884 -0.00088 0.00270 -0.00000 1.000e+04 
2880.000 -32.95829 32.54949 0.00566 -0.00173 0.00023 0.00000 1.000e+04 
2890.000 50.52396 -19.07354 -0.01176 -0.00020 0.00261 -0.00000 1.000e+04 
2900.000 -9.13880 51.48262 0.00505 -0.00214 0.00101 0.00000 1.000e+04 
2910.000 28.79565 -38.74790 -0.00628 0.00044 0.00212 -0.00000 1.000e+04 
2920.000 17.93377 54.00754 -0.00035 -0.00208 0.00172 0.00000 1.000e+04 
2930.000 -3.68791 -42.49177 -0.00547 0.00072 0.00114 -0.00000 1.000e+04 
2940.000 40.82111 43.10588 0.00099 -0.00176 0.00225 0.00000 1.000e+04 
2950.000 -33.19110 -22.57089 -0.00384 0.00010 0.00007 -0.00000 1.000e+04 
2960.000 54.84344 22.71518 0.00962 -0.00127 0.00260 0.00000 1.000e+04 
2970.000 -40.98541 12.27848 -0.00387 -0.00113 -0.00012 -0.00000 1.000e+04 
2980.000 56.74245 -2.61585 0.01176 -0.00065 0.00270 0.00000 1.000e+04 
2990.000 -25.67796 41.14380 -0.00750 -0.00194 0.00050 -0.00000 1.000e+04 
3000.000 44.49061 -27.08393 0.00706 0.00004 0.00250 -0.00000 1.000e+04 
3010.000 0.51508 54.21852 -0.00720 -0.00216 0.00128 -0.00000 1.000e+04 
3020.000 17.88248 -42.47270 0.00099 0.00062 0.00182 -0.00000 1.000e+04 
3030.000 27.02867 51.50675 -0.00316 -0.00199 0.00193 0.00000 1.000e+04 
3040.000 -16.14788 -37.84908 -0.00233 0.00061 0.00070 -0.00000 1.000e+04 
3050.000 47.24914 36.51037 0.00556 -0.00159 0.00241 0.00000 1.000e+04 
3060.000 -39.35424 -9.90867 -0.00660 -0.00036 -0.00014 -0.00000 1.000e+04 
